"Measures","Median10Folds"
"accuracy",0.938134978229317
"average-precision",0.96273282535075
"clp",0
"coverage",0.106711915535445
"F1",0.944947209653092
"hamming-loss",0.0309325108853411
"macro-AUC",0.943345767794297
"macro-F1",0.881637295639853
"macro-precision",0.871401515151516
"macro-recall",0.902701465201465
"margin-loss",0.0952467343976778
"micro-AUC",0.969564829690923
"micro-F1",0.938987832833716
"micro-precision",0.925925925925926
"micro-recall",0.961538461538462
"mlp",0
"one-error",0.0671476137624861
"precision",0.938134978229317
"ranking-loss",0.0317489114658926
"recall",0.961161387631976
"subset-accuracy",0.923076923076923
"wlp",0
