"Measures","Median10Folds"
"accuracy",0.942307692307692
"average-precision",0.966833207642031
"clp",0
"coverage",0.115384615384615
"F1",0.948717948717949
"hamming-loss",0.0288461538461538
"macro-AUC",0.943345767794297
"macro-F1",0.880698644687522
"macro-precision",0.864457070707071
"macro-recall",0.902701465201465
"margin-loss",0.0961538461538462
"micro-AUC",0.969564829690923
"micro-F1",0.943396226415094
"micro-precision",0.926599326599327
"micro-recall",0.961538461538462
"mlp",0
"one-error",0.0582579185520362
"precision",0.942307692307692
"ranking-loss",0.0317489114658926
"recall",0.961161387631976
"subset-accuracy",0.923076923076923
"wlp",0
